date,Total_PnL,Avg_Execution_Price,Total_Trade_Volume,Total_Fee,Trade_Count,value,classification,Sentiment_Binary,PnL_3D_Mean,PnL_3D_STD,Volume_3D_Mean,TradeCount_3D_Mean
2023-05-01,0.0,1898.1333333333328,477.0,0.0,3,63.0,Greed,1.0,,,,
2023-12-05,0.0,11038.3,50005.83,12.501455,9,75.0,Extreme Greed,,,,,
2023-12-14,-205.43473700000007,8031.868818181818,113203.35,28.300831,11,72.0,Greed,1.0,-68.4782456666667,118.60780070785,54562.06,7.666666666666667
2023-12-15,-24.632034,2.982,10609.95,2.652489,2,70.0,Greed,1.0,-76.6889236666667,112.17529858614341,57939.71,7.333333333333333
2023-12-16,0.0,0.3847066666666667,15348.77,3.837189,3,67.0,Greed,1.0,-76.6889236666667,112.1752985861434,46387.35666666667,5.333333333333333
2023-12-17,304.982785,802.5418592857143,116278.02,29.069499,14,73.0,Greed,1.0,93.45025033333332,183.60608429903047,47412.246666666666,6.333333333333333
2023-12-18,0.0,2178.1000000000004,31164.18,7.791045,2,65.0,Greed,1.0,101.66092833333333,176.08189301795173,54263.65666666667,6.333333333333333
2023-12-19,1000.538612,447.8019113333333,91602.41,22.900596,15,73.0,Greed,1.0,435.173799,512.8173686805886,79681.53666666667,10.333333333333334
2023-12-20,162.732282,6.722871666666666,141636.79,35.409187,18,74.0,Greed,1.0,387.75696466666665,536.8858904670965,88134.46,11.666666666666666
2023-12-21,537.211402,91.84020408163263,125233.97,31.308469,49,70.0,Greed,1.0,566.8274319999999,419.6876142701114,119491.05666666669,27.333333333333332
2023-12-22,141.832675,30692.8325,88874.28,22.218566000000003,10,74.0,Greed,1.0,280.59211966666663,222.48435999446085,118581.68000000001,25.666666666666668
2023-12-23,146.936704,3.0702846153846157,78438.25,19.609555,13,70.0,Greed,1.0,275.3269269999999,226.81296581661152,97515.5,24.0
2023-12-24,1008.619956,13680.54118025641,402954.94,100.738715,39,71.0,Greed,1.0,432.46311166666663,498.97298998254087,190089.1566666667,20.666666666666668
2023-12-25,-245.081348,2275.4,59948.51,14.987125,3,73.0,Greed,1.0,303.4917706666666,641.345348924492,180447.23333333337,18.333333333333332
2023-12-27,-704.8892269999999,0.3731921428571428,171411.06,42.852747,28,73.0,Greed,1.0,19.549793666666687,886.876914183239,211438.17,23.333333333333332
2023-12-28,-970.730876,0.4032943478260869,100117.25,25.0293,23,73.0,Greed,1.0,-640.2338169999999,367.1199407596337,110492.27333333337,18.0
2023-12-29,508.922143,3836.17816,569559.72,142.389901,50,65.0,Greed,1.0,-388.89932,788.8158721484725,280362.6766666667,33.666666666666664
2023-12-30,354.998648,13421.615271153849,702550.21,175.637526,52,68.0,Greed,1.0,-35.60336166666669,813.4929081594275,457409.06,41.666666666666664
2024-01-01,-129.53146,10373.330666666669,264239.53,66.059867,18,65.0,Greed,1.0,244.79644366666662,333.18785268353463,512116.48666666663,40.0
2024-01-02,783.979116,10199.892598764704,121348.74,30.337176,17,71.0,Greed,1.0,336.4821013333333,457.03669435977145,362712.82666666666,29.0
2024-01-03,866.015507,738.8837898507463,394499.36,98.624811,67,70.0,Greed,1.0,506.8210543333333,552.6218275057932,260029.21,34.0
2024-01-04,-67.60364,2212.62,99792.54,24.948132,5,68.0,Greed,1.0,527.4636609999999,516.973221648515,205213.54666666666,29.666666666666668
2024-01-05,164.141565,30495.46818181818,1703942.66,425.985639,66,72.0,Greed,1.0,320.851144,486.1374260679997,732744.8533333334,46.0
2024-01-06,135.58166400000002,6586.107318181818,298521.4,74.630342,22,70.0,Greed,1.0,77.37319633333331,126.36308516018109,700752.2000000001,31.0
2024-01-07,-835.681235,7513.911021649485,1048850.06,262.212464,97,71.0,Greed,1.0,-178.6526686666667,569.182589087025,1017104.7066666667,61.666666666666664
2024-01-08,-269.874439,15078.63093734375,1522452.43,380.613064,128,71.0,Greed,1.0,-323.32467,487.83255338172773,956607.9633333334,82.33333333333333
2024-01-09,-826.349863,14127.109546714286,870051.97,204.012928,70,76.0,Extreme Greed,,-643.9685123333334,324.00856532381175,1147118.1533333333,98.33333333333333
2024-01-10,-1517.091342,12914.76879230052,2057479.48,434.044865,193,73.0,Greed,1.0,-871.1052146666667,624.8117971912288,1483327.96,130.33333333333334
2024-01-11,-164.08950099999998,12141.70542857143,305314.1,75.867171,21,76.0,Extreme Greed,,-835.8435686666667,676.5508800325453,1077615.1833333333,94.66666666666667
2024-01-12,-1925.519024,39774.47142857143,200082.27,49.480727,7,71.0,Greed,1.0,-1202.233289,921.95996999773,854291.9500000001,73.66666666666667
2024-01-15,152.85358,16738.085714285717,50636.1,12.652712,14,52.0,Neutral,,-645.5849816666665,1119.7261244122392,185344.15666666673,14.0
2024-01-16,-2299.171458,19105.61008888889,116427.33,17.319309,9,64.0,Greed,1.0,-1357.2789673333334,1321.0901817230827,122381.90000000007,10.0
2024-01-17,813.2741110000001,20112.302,800831.03,159.707606,53,60.0,Greed,1.0,-444.3479223333332,1639.913589427451,322631.48666666675,25.333333333333332
2024-01-18,68.93319,24363.11304347826,424631.53,92.657901,46,63.0,Greed,1.0,-472.32138566666663,1625.283588103015,447296.63000000006,36.0
2024-01-19,-385.419235,14421.93125,428428.97,93.051868,48,51.0,Neutral,,165.59602199999995,605.164615417875,551297.1766666668,49.0
2024-01-20,-146.57487000000003,14671.724672933962,1070090.51,267.522583,106,52.0,Neutral,,-154.3536383333334,227.27607320928746,641050.3366666667,66.66666666666667
2024-01-21,266.58114600000005,19141.940333454542,103129.74,25.78243,11,56.0,Greed,1.0,-88.47098633333339,329.8608345634549,533883.0733333334,55.0
2024-01-22,1375.640959,6179.383261176471,337878.99,67.478268,85,55.0,Greed,1.0,498.5490783333333,787.1734870648219,503699.74666666664,67.33333333333333
2024-01-23,-369.2447299999998,11768.913676111111,414518.93000000005,85.72457,45,50.0,Neutral,,424.32579166666665,883.0736361406268,285175.88666666666,47.0
2024-01-24,-2808.353815,16861.48394732353,965084.59,227.771095,68,48.0,Neutral,,-600.6525286666666,2101.5744679115332,572494.17,66.0
2024-01-25,-3093.629385,87.95416666666667,66566.13,16.641532,6,52.0,Neutral,,-2090.40931,1497.3814381428133,482056.55,39.666666666666664
2024-01-26,90.2,0.1198688,11773.21,0.444235,5,49.0,Neutral,,-1937.261066666667,1761.6169618695662,347807.9766666666,26.333333333333332
2024-01-28,-2478.06972,16.956,18109.03,-0.362176,11,54.0,Neutral,,-1827.1663683333336,1688.771378282314,32149.456666666665,7.333333333333333
2024-01-29,486.562542,15636.855511594596,414208.18,103.262605,74,55.0,Greed,1.0,-633.7690593333335,1609.4593848174004,148030.13999999998,30.0
2024-01-30,-173.65419100000005,27371.99183673469,401011.38,100.25281,49,61.0,Greed,1.0,-721.7204563333336,1556.452243282823,277776.19666666666,44.666666666666664
2024-01-31,-799.840817,28200.90456028405,6305647.13,1549.411475,859,60.0,Greed,1.0,-162.31082200000026,643.2766935983506,2373622.23,327.3333333333333
2024-02-01,0.0,0.0761261666666666,2008.18,0.5020439999999999,6,63.0,Greed,1.0,-324.4983360000003,420.71581880813,2236222.23,304.6666666666667
2024-02-02,456.423473,15601.771341142858,474278.43,91.569636,42,63.0,Greed,1.0,-114.47244800000023,635.9071847334627,2260644.58,302.3333333333333
2024-02-03,223.309187,29939.640223214286,603820.0,109.662349,56,60.0,Greed,1.0,226.5775533333331,228.22928896225213,360035.5366666666,34.666666666666664
2024-02-04,47.62389499999999,12108.636457142857,203187.53,50.52688,35,60.0,Greed,1.0,242.45218499999976,205.07099873597105,427095.32,44.333333333333336
2024-02-05,-33.45419400000003,15958.2223625,770198.26,165.549465,72,60.0,Greed,1.0,79.1596293333331,131.2544679643238,525735.2633333333,54.333333333333336
2024-02-06,-215.615907,22118.307961134196,8047153.41,988.606997,1088,64.0,Greed,1.0,-67.14873533333356,134.81576289885547,3006846.4,398.3333333333333
2024-02-07,241.24212,3.98582,6758.73,0.339693,15,62.0,Greed,1.0,-2.609327000000235,229.98558340420348,2941370.1333333333,391.6666666666667
2024-02-08,770.756024,10.0228845,26051.12,3.0028870000000003,10,66.0,Greed,1.0,265.46074566666647,493.63174830844997,2693321.0866666664,371.0
2024-02-11,983.443176,17890.449081970586,212311.82,24.955292,34,71.0,Greed,1.0,665.1471066666664,382.2048331027766,81707.22333333334,19.666666666666668
2024-02-12,913.8817869999998,28717.7418125,227247.7,27.111911,16,70.0,Greed,1.0,889.3603289999998,108.44322285558312,155203.54666666666,20.0
2024-02-13,559.44389,0.0605428571428571,1999.99,-0.039992,14,79.0,Extreme Greed,,818.9229509999997,227.39114765748272,147186.50333333333,21.333333333333332
2024-02-14,3830.599833,5443.060992846847,320839.88,22.917474,111,74.0,Greed,1.0,1767.9751699999997,1795.0548545989755,183362.52333333335,47.0
2024-02-15,1840.797677,2750.165854587301,185188.04,30.706297,63,72.0,Greed,1.0,2076.947133333333,1648.314358716491,169342.6366666667,62.666666666666664
2024-02-16,5491.768834,696.7813038571429,564896.51,27.22517,182,72.0,Greed,1.0,3721.0554480000005,1827.9490081852007,356974.81000000006,118.66666666666667
2024-02-17,1929.6418,3403.646719574468,406118.07,62.055053,94,76.0,Extreme Greed,,3087.4027703333336,2082.7158821192756,385400.87333333335,113.0
2024-02-18,477.6248299999999,3.395497731958763,157048.17,-3.140925,97,72.0,Greed,1.0,2633.011821333333,2580.0110587738063,376020.9166666667,124.33333333333333
2024-02-19,4317.768563,2068.0068288118814,286377.2,14.85262,101,75.0,Extreme Greed,,2241.678397666666,1938.9948688011893,283181.14666666667,97.33333333333333
2024-02-20,3263.628824,2681.806243897436,119419.72,3.073675,39,72.0,Greed,1.0,2686.3407389999993,1984.0922665886849,187615.03000000003,79.0
2024-02-21,1858.79857,27.589205454545457,108047.52,2.970629,22,78.0,Extreme Greed,,3146.731985666666,1233.6458202125348,171281.48,54.0
2024-02-22,3894.10507,1175.5737064772727,373033.87,25.45258,88,74.0,Greed,1.0,3005.5108213333333,1041.914974799307,200167.0366666667,49.666666666666664
2024-02-23,1418.55293,725.5068307692308,111106.14,-2.067069,143,76.0,Extreme Greed,,2390.4855233333333,1320.646758873588,197395.84333333335,84.33333333333333
